|  № | автор               | название                                            |  тираж |       цена |
|  1 | Брайан У. Керниган, | Язык программирования C                             |   2000 |    590 грн |
|    | Деннис М. Ритчи     | Язык программирования C                             |   2000 |    590 грн |
|  2 | Майк Банахан,       | The C Book                                          | online |    449 грн |
|    | Диклан Брэйди,      | The C Book                                          | online |    449 грн |
|    | Марк Доран          | The C Book                                          | online |    449 грн |
|  3 | Дон Гриффитс,       | Изучаем программирование на C                       |   2000 |   1000 грн |
|    | Дэвид Гриффитс      | Изучаем программирование на C                       |   2000 |   1000 грн |
|  4 | Дэн Гукин           | Программирование на С для чайников                  |    500 |    839 грн |
|  5 | Майк МакГрат        | Книга Программирование на С для начинающих          |    500 |    337 грн |
|  6 | Васильев А.Н.       | Программирование на C в примерах и задачах          |   5000 |    500 грн |
|  7 | Стив Уоллайн        | C Elements of Style                                 | online | бесплатная |
|  8 | Стивен Прата        | Язык программирования C. Лекции и упражнения        |    500 |    900 грн |
|  9 | Кори Альтхофф       | Сам себе программист. Как научиться программировать |   1000 |    350 грн |
| 10 | Роберт Мартин       | Идеальный программист.                              |   1500 |    360 грн |
|    | Роберт Мартин       | Как стать профессионалом разработки ПО              |   1500 |    360 грн |
| 11 | Васильев А.Н.       | Программирование на C# для начинающих               |   2000 |    709 грн |
| 12 | Джон Эриксон        | Хакинг. Искусство эксплойта                         |   1500 |    989 грн |
